Extract feature
Train and test
Accuracy  47.2 %
rank            importance                     label                         
106             0.0010681856106009174          Subset 7 Packet Per Second Standard Deviation
107             0.001053451425124763           Subset 2 Packet Per Second Median
108             0.001023006645222393           Subset 1 Packet Per Second Mean
109             0.0010218596613658446          Subset 11 Packet Per Second Min
110             0.0010084665735137347          Subset 6 Packet Per Second Min
111             0.0009952658796337761          Subset 6 Packet Per Second Median
112             0.0009944650274691332          Subset 15 Outgoing Packet Concentration Median
113             0.0009790277842156336          Subset 11 Packet Per Second Max
114             0.0009722734331599146          Subset 15 Packet Per Second Min
115             0.0009525076009849309          Subset 8 Packet Per Second Mean
116             0.0009108087844924157          Subset 11 Packet Per Second Standard Deviation
117             0.0009095507106601474          Subset 4 Packet Per Second Min
118             0.0008989502128774628          Subset 7 Packet Per Second Median
119             0.0008959032346366681          Subset 6 Packet Per Second Mean
120             0.0008662977721236069          Subset 2 Packet Per Second Mean
121             0.0008388711355471312          Subset 4 Packet Per Second Max
122             0.0008385634241366833          Subset 7 Packet Per Second Mean
123             0.0008155254319862135          Subset 14 Packet Per Second Max
124             0.0008119061039054744          Subset 4 Packet Per Second Mean
125             0.0008073031191569555          Subset 11 Packet Per Second Median
126             0.0008025354015716041          Subset 12 Packet Per Second Min
127             0.0007751357491714415          Subset 5 Packet Per Second Max
128             0.0007655786472466912          Subset 14 Packet Per Second Standard Deviation
129             0.0007561788412674331          Subset 4 Packet Per Second Median
130             0.0007512889689594344          Subset 15 Packet Per Second Max
131             0.0007442599129029767          Subset 4 Packet Per Second Standard Deviation
132             0.0007340669596871938          Subset 6 Packet Per Second Standard Deviation
133             0.0007277780213979442          Subset 14 Packet Per Second Min
134             0.000719931351133078           Subset 11 Packet Per Second Mean
135             0.0007152981200354636          Subset 12 Packet Per Second Max
136             0.0007092782021914888          Subset 12 Packet Per Second Standard Deviation
137             0.0007043828412313383          Subset 15 Packet Per Second Median
138             0.0006993578529327821          Subset 16 Packet Per Second Standard Deviation
139             0.0006929848637640607          Subset 13 Packet Per Second Min
140             0.0006800719490863883          Subset 13 Packet Per Second Max
141             0.0006753823006716177          Subset 14 Packet Per Second Median
142             0.0006723533091347034          Subset 16 Packet Per Second Min
143             0.0006592417513392218          Subset 14 Packet Per Second Mean
144             0.000652425378065032           Subset 12 Packet Per Second Mean
145             0.0006258711228682171          Subset 17 Packet Per Second Standard Deviation
146             0.0006210900727406673          Subset 5 Packet Per Second Standard Deviation
147             0.0006150341127478433          Subset 15 Packet Per Second Mean
148             0.0006106829393578136          Subset 17 Packet Per Second Min
149             0.0006084235497014725          Subset 5 Packet Per Second Min
150             0.000606541027963837           Subset 18 Packet Per Second Min
151             0.0005834402255560403          Subset 16 Packet Per Second Max
152             0.0005774608053099189          Subset 5 Packet Per Second Mean
153             0.000565083285979803           Subset 12 Packet Per Second Median
154             0.0005646776983074249          Subset 13 Packet Per Second Standard Deviation
155             0.0005498059858115845          Subset 17 Packet Per Second Max
156             0.0005435139515593072          Subset 17 Packet Per Second Median
157             0.0005403081150593683          Subset 18 Packet Per Second Max
158             0.0005358587086098273          Subset 16 Packet Per Second Mean
159             0.0005290884028092161          Subset 18 Packet Per Second Standard Deviation
160             0.0005286830638586022          Subset 13 Packet Per Second Median
161             0.000513020114970106           Subset 3 Packet Per Second Max
162             0.000508669821137979           Subset 5 Packet Per Second Median
163             0.0005028142359520285          Subset 13 Packet Per Second Mean
164             0.0004860036730784805          Subset 18 Packet Per Second Mean
165             0.00045026821528248594         Subset 17 Packet Per Second Mean
166             0.00044601020863982075         Subset 3 Packet Per Second Min
167             0.0004315169924968994          Outgoing Packet Concentration Median
168             0.00042241779094581456         Subset 16 Packet Per Second Median
169             0.00041714589583967924         Subset 3 Packet Per Second Standard Deviation
170             0.0004095564608929268          Subset 19 Outgoing Packet Concentration Mean
171             0.00039406347111761735         Subset 19 Outgoing Packet Concentration Max
172             0.0003898734673631788          Subset 18 Packet Per Second Median
173             0.0003831943739167249          Subset 3 Packet Per Second Median
174             0.0003679519730830251          Subset 3 Packet Per Second Mean
175             0.00035701261855351844         Subset 19 Outgoing Packet Concentration Median
176             0.00023038404029847783         Subset 14 Outgoing Packet Concentration Max
177             0.0002293498130081789          Subset 14 Outgoing Packet Concentration Mean
178             0.0002017582509383141          Subset 14 Outgoing Packet Concentration Median
179             0.00017518330993143268         Subset 18 Outgoing Packet Concentration Median
180             0.00014043218202224427         Subset 18 Outgoing Packet Concentration Max
181             0.0001361371414904653          Subset 18 Outgoing Packet Concentration Mean
182             0.00011244930532606324         Subset 17 Outgoing Packet Concentration Max
183             9.183740522796258e-05          Total Packet Count            
