Extract feature
Train and test
Accuracy  9.2 %
rank            importance                     label                         
105             0.003691232463332256           Subset 19 Packet Per Second Min
106             0.0036711875840855206          Subset 7 Packet Per Second Max
107             0.003627908339350971           Subset 19 Packet Per Second Max
108             0.0036055427075669705          Subset 7 Packet Per Second Min
109             0.003591474193457145           Subset 9 Packet Per Second Standard Deviation
110             0.0035468478505002623          Subset 6 Packet Per Second Min
111             0.003524510520757419           Subset 7 Packet Per Second Standard Deviation
112             0.0034793851906168806          Subset 6 Packet Per Second Max
113             0.00347293773753268            Subset 15 Packet Per Second Min
114             0.0034345553353281747          Outgoing Packet Concentration Median
115             0.0033933431778187285          Subset 6 Packet Per Second Standard Deviation
116             0.0033921631802610003          Subset 15 Packet Per Second Standard Deviation
117             0.0032950703490086967          Subset 18 Packet Per Second Max
118             0.0032857932530989996          Subset 5 Packet Per Second Min
119             0.003219480423936393           Subset 12 Packet Per Second Standard Deviation
120             0.0031251258861377702          Subset 12 Packet Per Second Min
121             0.003073943292620999           Subset 15 Packet Per Second Max
122             0.0030451366632715244          Subset 18 Packet Per Second Min
123             0.003040249687466314           Subset 14 Packet Per Second Max
124             0.0030231070338324513          Subset 18 Packet Per Second Standard Deviation
125             0.003022913946763419           Subset 5 Packet Per Second Max
126             0.0029813139678807055          Subset 5 Packet Per Second Standard Deviation
127             0.0029772509725188474          Subset 14 Packet Per Second Standard Deviation
128             0.0029576632694279497          Subset 8 Packet Per Second Min
129             0.002940921881187388           Subset 11 Packet Per Second Standard Deviation
130             0.002904620306138294           Subset 11 Packet Per Second Min
131             0.0028794453355456217          Subset 8 Packet Per Second Standard Deviation
132             0.0028732910477817578          Subset 12 Packet Per Second Max
133             0.0028440670766478895          Subset 16 Packet Per Second Max
134             0.0028188057982725424          Subset 16 Packet Per Second Min
135             0.002797535055712522           Subset 14 Packet Per Second Min
136             0.0027683569890273405          Subset 8 Packet Per Second Max
137             0.0027593347397348446          Subset 11 Packet Per Second Max
138             0.0027422562838896464          Subset 16 Packet Per Second Standard Deviation
139             0.0026111113560013765          Subset 13 Packet Per Second Max
140             0.0025832868244475625          Subset 2 Packet Per Second Mean
